,Year,Coal Prod_x,Gas Prod_x,Oil Prod_x,Coal Prod_y,Gas Prod_y,Oil Prod_y,Coal EROI,Gas EROI,Oil EROI,Total Prod Gross,Total Prod Net,Coal %,Gas %,Oil %,EROI Total
0,1710,3.75E-05,0,0,3.54E-05,0,0,17.56672005,31.13573842,18.73272936,3.75E-05,3.54E-05,1.00,0.00,0.00,17.57
1,1711,0.0003,0,0,0.000282922,0,0,17.56672051,31.13573842,18.73272936,3.00E-04,2.83E-04,1.00,0.00,0.00,17.57
2,1712,0.000637501,0,0,0.000601211,0,0,17.56672421,31.13573842,18.73272936,6.38E-04,6.01E-04,1.00,0.00,0.00,17.57
3,1713,0.0012,0,0,0.001131689,0,0,17.56673207,31.13573842,18.73272936,1.20E-03,1.13E-03,1.00,0.00,0.00,17.57
4,1714,0.0017625,0,0,0.001662168,0,0,17.56674685,31.13573842,18.73272936,1.76E-03,1.66E-03,1.00,0.00,0.00,17.57
5,1715,0.0021,0,0,0.001980456,0,0,17.56676857,31.13573842,18.73272936,2.10E-03,1.98E-03,1.00,0.00,0.00,17.57
6,1716,0.0023625,0,0,0.002228013,0,0,17.56679444,31.13573842,18.73272936,2.36E-03,2.23E-03,1.00,0.00,0.00,17.57
7,1717,0.0024,0,0,0.002263379,0,0,17.56682355,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
8,1718,0.0024,0,0,0.002263379,0,0,17.56685313,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
9,1719,0.0024,0,0,0.002263379,0,0,17.5668827,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
10,1720,0.0024,0,0,0.00226338,0,0,17.56691227,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
11,1721,0.0024,0,0,0.00226338,0,0,17.56694185,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
12,1722,0.0024,0,0,0.00226338,0,0,17.56697142,31.13573842,18.73272936,2.40E-03,2.26E-03,1.00,0.00,0.00,17.57
13,1723,0.0024375,0,0,0.002298746,0,0,17.56700099,31.13573842,18.73272936,2.44E-03,2.30E-03,1.00,0.00,0.00,17.57
14,1724,0.00270001,0,0,0.002546312,0,0,17.56703103,31.13573842,18.73272936,2.70E-03,2.55E-03,1.00,0.00,0.00,17.57
15,1725,0.00300001,0,0,0.002829235,0,0,17.5670643,31.13573842,18.73272936,3.00E-03,2.83E-03,1.00,0.00,0.00,17.57
16,1726,0.00330001,0,0,0.003112158,0,0,17.56710127,31.13573842,18.73272936,3.30E-03,3.11E-03,1.00,0.00,0.00,17.57
17,1727,0.00356251,0,0,0.003359716,0,0,17.56714194,31.13573842,18.73272936,3.56E-03,3.36E-03,1.00,0.00,0.00,17.57
18,1728,0.00360001,0,0,0.003395082,0,0,17.56718584,31.13573842,18.73272936,3.60E-03,3.40E-03,1.00,0.00,0.00,17.57
19,1729,0.00360001,0,0,0.003395082,0,0,17.5672302,31.13573842,18.73272936,3.60E-03,3.40E-03,1.00,0.00,0.00,17.57
20,1730,0.00363751,0,0,0.003430448,0,0,17.56727456,31.13573842,18.73272936,3.64E-03,3.43E-03,1.00,0.00,0.00,17.57
21,1731,0.00390001,0,0,0.003678006,0,0,17.56731939,31.13573842,18.73272936,3.90E-03,3.68E-03,1.00,0.00,0.00,17.57
22,1732,0.00420001,0,0,0.00396093,0,0,17.56736745,31.13573842,18.73272936,4.20E-03,3.96E-03,1.00,0.00,0.00,17.57
23,1733,0.00450001,0,0,0.004243853,0,0,17.56741921,31.13573842,18.73272936,4.50E-03,4.24E-03,1.00,0.00,0.00,17.57
24,1734,0.00476252,0,0,0.004491421,0,0,17.56747467,31.13573842,18.73272936,4.76E-03,4.49E-03,1.00,0.00,0.00,17.57
25,1735,0.00483752,0,0,0.004562153,0,0,17.56753337,31.13573842,18.73272936,4.84E-03,4.56E-03,1.00,0.00,0.00,17.57
